"NOME","NUM","SEQ","SENTIDO","ITINERARY_ID","COD"
"Praça Tiradentes - 280 - Nsa. Senhora de Nazaré","101007","1","Nossa Sra. de Nazaré","608","280"
"Rua Pedro Spisla Filho, 336- Santa Candida","120370","1","Moreira Garcez","609","280"
"Terminal Centenário - 302 - Centenário / Rui Barbosa / 303 - Centenário / Campo Comprido","105101","1","Praça Rui Barbosa","2325","302"
"Estação Tubo Praça Eufrasio Correia","108026","1","Atendimento Tubo Eufrásio Correia-Term. Centenário","2327","302"
"Terminal Centenário - 302 - Centenário / Rui Barbosa / 303 - Centenário / Campo Comprido","105101","1","Atendimento Term. Centenário - Tubo Eufrásio Correia","2328","302"
"Praça Rui Barbosa - (Embarque)  Pinhais / Rui Barbosa - Centenário / Rui Barbosa","108171","1","Term. Centenário","2326","302"
"Terminal Campo Comprido - 303 - Centenário / C.Comprido - Embarque","104601","1","Terminal Centenário","1384","303"
"Terminal Centenário - 302 - Centenário / Rui Barbosa / 303 - Centenário / Campo Comprido","105101","1","Terminal Campo Comprido","1346","303"
"Terminal Pinhais - 304 - Pinhais / Campo Comprido","109143","1","Terminal Campo Comprido","1396","304"
"Estação Tubo CIC Norte","109043","1","Terminal Pinhais","1397","304"
"Estação Tubo Marechal Deodoro","109036","1","Terminal Centenário","622","305"
"Terminal Centenário - 305 - Centenário","109115","1","Marechal Deodoro","623","305"
"Terminal Santa Felicidade - 307 - Santa Felicidade/ Bairro Alto","109121","1","Terminal Bairro Alto (Antigo)","624","307"
"Terminal Santa Felicidade - 307 - Santa Felicidade/ Bairro Alto","109121","1","Atendimento Praça Tiradentes","6781","307"
"Terminal Santa Felicidade - 307 - Santa Felicidade/ Bairro Alto","109121","1","Terminal Bairro Alto","11176","307"
"Terminal Bairro Alto - 340 - Detran / Bairro Alto - 307 - Bairro Alto / Santa Felicidade","109120","1","Terminal Santa Felicidade","625","307"
"Rua Filipinas, 543 - Cajuru","140734","1","Rui Barbosa","2145","308"
"Praça Rui Barbosa - 670 - São Jorge","102033","1","Centenário","2144","308"
"Praça Rui Barbosa - 309 - Mad. Centenári","102045","1","Centenário / Recolhe","10775","309"
"Praça Rui Barbosa - 309 - Mad. Centenári","102045","1","Centenário","10793","309"
"Terminal Capão da Imbuia - 311 - Araguaia","104704","1","Araguaia","626","311"
"Rua Araguaia, 1050 - Capão da Imbuia","130205","1","Terminal Capão da Imbuia","627","311"
"Rua Sebastião Marcos Luís, 1620 - Cajuru","140357","1","Terminal Oficinas","10653","321"
"Terminal Oficinas - 321 - Trindade","105605","1","Trindade","10654","321"
"Terminal Centenário - 322 - Camargo","105107","1","Terminal Oficinas","10634","322"
"Terminal Oficinas - 322 - Camargo","105608","1","Terminal Centenário","10633","322"
"Terminal Oficinas - 323 - Autódromo","105604","1","Autódromo","634","323"
"Terminal Centenário - 331 - Mercúrio","105108","1","Mercúrio Circular","11276","331"
"Terminal Centenário - 332 - Acrópole","105105","1","Acrópole","11333","332"
"Terminal Centenário - 334 - Agricola","105106","1","Agrícola (Circular)","638","334"
"Terminal Centenário - 335 - Centenário / Boqueirão","105103","1","Terminal Boqueirão","639","335"
"Terminal Boqueirão - 335 - Centenário / Boqueirão","104307","1","Terminal Centenário","640","335"
"Terminal Centenário - 336 - Vila Reno","105109","1","Vila Reno","641","336"
"Estrada Engenheiro Blei - Uberaba","140428","1","Terminal Centenário","642","336"
"Terminal Centenário - 338 - Centenário / Hauer","105104","1","Terminal Hauer","644","338"
"Terminal Hauer - 338 - Centenário / Hauer","105509","1","Terminal Centenário","643","338"
"Terminal Bairro Alto - 341 - Bairro Alto / Santa Cândida","104004","1","Terminal Santa Cândida","646","341"
"Terminal Santa Cândida - 341 - Bairro Alto / Santa Cândida","105911","1","Terminal Bairro Alto","647","341"
"Terminal Boa Vista - 342 - Bairro Alto / Boa Vista","104203","1","Terminal Bairro Alto","649","342"
"Terminal Bairro Alto - 342 - Bairro Alto / Boa Vista","104005","1","Terminal Boa Vista","648","342"
"Rua Altônia, 2 - Bairro Alto","130308","1","Terminal Bairro Alto","12155","343"
"Terminal Bairro Alto - 343 - Paraíso","104013","1","Jardim Paraíso","12173","343"
"Terminal Pinheirinho - 350 - Fagundes Varela / Pinheirinho","150899","1","Estação Fagundes Varela","12174","350"
"Estação Fagundes Varela","130949","1","Terminal Pinheirinho","12156","350"
"Praça Santos Andrade - 360 - Novena - 361 - Augusto Stresser","103404","1","Augusto Stresser","654","361"
"Av. Luísa Gulin, 268 - Bacacheri","130033","1","Praça Santos Andrade","655","361"
"Rua José Naves da Cunha, 250 - Seminário","180956","1","Jd. Social","656","365"
"Rua João Dalegrave, 326 - Bacacheri","130475","1","Batel","657","365"
"Avenida Vicente Machado, 1430 - Centro","180249","1","Itupava","658","366"
"Rua Maria Ficinska, 382 - Tarumã","130868","1","Hosp. Militar","1722","366"
"Rua Mário Zanlorenzi, 389 - Campo Comprido","180978","1","Praça Zacarias","12293","370"
"Praça Zacarias - 370-Rua XV / Barigui - 360-Novena - 365-Jardim Social/Batel","103503","1","Barigui","12273","370"
"Terminal Bairro Alto - 371 - Higienópolis","104011","1","Praça Santos Andrade","662","371"
"Praça Santos Andrade - 371 - Higienópolis","103405","1","Terminal Bairro Alto","661","371"
"Terminal Bairro Alto - 372 - Tarumã","104003","1","Praça Carlos Gomes","664","372"
"Praça Carlos Gomes - 372 - Tarumã","103203","1","Bairro Alto","663","372"
"Praça Carlos Gomes - 373 - Alto Tarumã","103205","1","Terminal Bairro Alto","665","373"
"Terminal Bairro Alto - 373 - Alto Tarumã","104010","1","Praça Carlos Gomes","666","373"
"Praça Santos Andrade - 374 - Hugo Lange","103403","1","Terminal Bairro Alto","12154","374"
"Terminal Bairro Alto - 374 - Hugo Lange","104002","1","Praça Santos Andrade","12153","374"
"Terminal Bairro Alto - 375 - Sagrado Coração","104009","1","Praça Santos Andrade","670","375"
"Praça Santos Andrade - 375 - Sagrado Coração","103406","1","Terminal Bairro Alto","669","375"
"Rua Hayton da Silva Pereira, 1202 - Capão da Imbuia","130221","1","V. Machado","6883","380"
"Av. Vicente Machado, 2922 - Seminário","181018","1","Detran","6884","380"
"Rua Frei Orlando, 1243 - Jardim Social","130885","1","Centro","674","385"
"Rua Visconde de Nácar, 1224 - Centro","110158","1","Cristo Rei","675","385"
"Praça Carlos Gomes - 386-Cajuru","103206","1","Cajuru","676","386"
"Rua Pastor Manoel Virgínio de Souza, 1082 - Capão da Imbuia","130253","1","Praça Carlos Gomes","677","386"
"Rua Pedro Violani, 1 - Cajuru","140942","1","Praça Rui Barbosa","679","387"
"Praça Rui Barbosa - 387 - Palotinos","102038","1","Palotinos","1749","387"
"Praça Carlos Gomes - 372 - Tarumã","103203","1","C.Gomes/Tarumã circular","10814","389"
"Praça Zacarias - 380-Detran/Vicente Machado","103509","1","Zacarias / Augusta circular","10795","389"
"Praça Rui Barbosa - 461 - Santa Bárbara","102040","1","Santa Bárbara","1735","461"
"Rua Professor Paulo D'Assumpção, 1250 - Uberaba","140584","1","Praça Rui Barbosa","683","461"
"Rua Professor Toshiaki Saito, 414 - Uberaba","140591","1","Praça Rui Barbosa","687","462"
"Praça Rui Barbosa - 462 - Petrópolis","102041","1","Petrópolis","684","462"
"Praça Rui Barbosa - 462 - Petrópolis","102041","1","Ouro Verde","686","462"
"Rua Artur José Nísio, 167 - Uberaba","140590","1","Praça Rui Barbosa","685","462"
"Praça Carlos Gomes - 463-Solitude","103207","1","Solitude","688","463"
"Rua Antônio Moreira Lopes, 1545 - Cajuru","140386","1","Praça Carlos Gomes","1747","463"
"Rua Alcides Munhoz, 1235 - Mercês","190908","1","Jardim Botânico","11113","464"
"Rua Maurício Nunes Garcia, 246 - Jardim Botanico","140920","1","Alcides Munhoz","11133","464"
"Rua Doutor Ovande do Amaral, 81 - Jardim das Américas","140603","1","Praça Rui Barbosa","693","465"
"Praça Rui Barbosa - 465 - Erasto Gaertner - 889 - Mad. São Braz","102039","1","Erasto Gaertner","692","465"
"Rua Amoroso Costa, 120 - Jardim das Américas","140287","1","Praça 19 de Dezembro (Final de Semana)","3942","466"
"Rua Evaristo F. F. da Costa, 407I - Centro Politécnico","140962","1","Praça 19 de Dezembro","695","466"
"Praça 19 de dezembro - 466 - Estudantes","103004","1","Centro Politécnico (Final de Semana)","3943","466"
"Praça 19 de dezembro - 466 - Estudantes","103004","1","Centro Politécnico","694","466"
"Rua Amauri Mauad Guérios, 70 - Uberaba","140630","1","Praça Rui Barbosa","699","468"
"Praça Rui Barbosa - 468 - Jd Centauro","102020","1","Jd. Centauro","698","468"
"Estação Tubo Jardim das Américas","109034","1","Estação Círculo Militar","1371","469"
"Estação Tubo Circulo Militar","109019","1","Centro Politécnico","1370","469"
"Rua Rosa Sahagof, 213 - Uberaba","140818","1","Praça Rui Barbosa","705","471"
"Praça Rui Barbosa - 471 - Vila São Paulo","102022","1","V. São Paulo","704","471"
"Praça Rui Barbosa - 472 - Uberaba","102024","1","Uberaba","706","472"
"Av. Comendador Franco, 8001 -  Uberaba","140807","1","Praça Rui Barbosa","707","472"
"Rua Delourdes Loiola de Paula, 77 - Uberaba","140761","1","Praça Rui Barbosa","709","474"
"Praça Rui Barbosa - 474 - Jd Itiberê","102021","1","Jd. Itiberê","708","474"
"R. Américo Firmino de Tolêdo, 555 - Uberaba","140871","1","Praça Rui Barbosa","711","475"
